zone_id,latitude,longitude,date,rainfall_24h,rainfall_3day,rainfall_7day,soil_moisture,elevation,slope,land_cover,historical_landslide,label
SIKKIM-031,27.844762,88.624836,2026-04-13,12.52,167.72,188.1,0.568,1352.18,13.73,urban,1,0
SIKKIM-032,28.06751,88.523005,2026-04-14,22.24,144.1,261.23,0.729,743.86,1.0,forest,0,0
SIKKIM-033,27.425825,88.179798,2026-04-15,45.98,149.13,467.84,0.912,1691.46,24.69,forest,0,0
SIKKIM-034,27.47046,88.723712,2026-04-16,62.08,97.0,400.58,0.798,291.23,17.1,agriculture,0,0
SIKKIM-035,27.569556,88.643866,2026-04-17,146.93,409.65,554.07,0.98,1761.23,24.25,forest,0,1
SIKKIM-036,27.289471,88.665086,2026-04-18,72.33,187.73,328.92,0.835,733.79,3.83,forest,0,1
SIKKIM-037,27.229922,88.117952,2026-04-19,70.89,169.19,184.26,0.537,1475.66,22.2,urban,0,0
SIKKIM-038,27.575705,88.111378,2026-04-20,80.68,122.2,217.2,0.481,1392.8,23.03,forest,0,0
SIKKIM-039,27.326909,88.834806,2026-04-21,49.15,150.7,368.42,0.708,2011.38,33.56,forest,0,0
SIKKIM-040,27.769814,88.35782,2026-04-22,38.66,132.81,239.99,0.505,1364.25,8.91,bare_land,1,1
SIKKIM-041,27.537152,88.270854,2026-04-23,125.22,396.84,661.02,0.98,1116.81,12.12,forest,0,1
SIKKIM-042,27.932678,88.439726,2026-04-24,24.59,122.85,377.32,0.839,1206.83,20.63,forest,1,1
SIKKIM-043,27.800265,88.596578,2026-04-25,33.87,134.32,227.98,0.691,2060.98,21.95,urban,0,1
SIKKIM-044,27.412367,88.860061,2026-04-26,69.28,111.22,262.9,0.653,1707.42,9.72,forest,0,0
SIKKIM-045,27.93226,88.257802,2026-04-27,134.42,190.38,524.37,0.876,1264.9,18.44,forest,0,0
SIKKIM-046,27.904764,88.832328,2026-04-28,51.52,186.95,231.03,0.59,1336.51,20.32,forest,0,0
SIKKIM-047,27.487478,88.022374,2026-04-29,46.87,67.45,176.31,0.508,697.75,11.29,urban,0,0
SIKKIM-048,27.388328,88.499678,2026-04-30,66.5,245.94,286.18,0.858,1636.47,19.85,forest,0,0
SIKKIM-049,27.782496,88.570578,2026-05-01,96.05,278.51,351.99,0.675,605.29,7.77,agriculture,0,0
SIKKIM-050,27.239752,88.095308,2026-05-02,59.51,111.06,504.18,0.98,1810.86,31.31,forest,0,1
SIKKIM-051,27.299908,88.126306,2026-05-03,145.17,267.33,376.16,0.965,1511.74,9.89,forest,0,1
SIKKIM-052,27.107362,88.377203,2026-05-04,148.97,359.01,384.81,0.878,2595.74,21.07,bare_land,0,1
SIKKIM-053,27.886924,88.869609,2026-05-05,69.28,158.28,223.59,0.639,921.93,12.46,agriculture,0,0
SIKKIM-054,27.764851,88.536438,2026-05-06,227.3,305.15,341.66,0.785,1400.72,23.24,urban,0,0
SIKKIM-055,27.805165,88.839721,2026-05-07,79.46,164.18,319.72,0.768,2313.18,11.53,forest,0,0
SIKKIM-056,27.880729,88.723925,2026-05-08,145.89,261.12,445.79,0.98,2021.87,10.69,agriculture,0,0
SIKKIM-057,27.558916,88.420643,2026-05-09,94.32,155.85,395.31,0.793,1115.82,1.0,bare_land,0,0
SIKKIM-058,27.668741,88.706287,2026-05-10,93.18,166.41,376.88,0.9,1557.5,17.72,forest,0,0
SIKKIM-059,27.239797,88.016053,2026-05-11,19.88,136.62,182.55,0.421,1450.96,7.66,forest,0,0
SIKKIM-060,27.21453,88.09823,2026-05-12,31.61,100.58,279.34,0.706,1585.34,14.61,bare_land,0,1
SIKKIM-061,27.768403,88.746486,2026-05-13,61.71,100.71,228.48,0.616,1114.63,19.21,forest,1,1
SIKKIM-062,27.571096,88.717135,2026-05-14,148.27,167.14,428.03,0.859,1407.13,11.12,agriculture,0,1
SIKKIM-063,27.665236,88.209377,2026-05-15,95.19,194.76,420.24,0.895,682.93,12.31,urban,1,0
SIKKIM-064,27.864999,88.477693,2026-05-16,62.11,264.17,688.18,0.98,1514.86,14.72,forest,0,0
SIKKIM-065,27.734718,88.545414,2026-05-17,112.41,238.56,308.05,0.638,1666.01,23.7,forest,0,0
SIKKIM-066,27.653579,88.780965,2026-05-18,144.91,185.16,247.07,0.602,1340.84,19.53,forest,0,0
SIKKIM-067,27.659207,88.542796,2026-05-19,76.16,131.81,231.06,0.517,674.78,4.86,forest,0,0
SIKKIM-068,27.40395,88.371314,2026-05-20,87.92,165.36,296.62,0.732,1924.5,19.05,forest,1,1
SIKKIM-069,27.130818,88.336766,2026-05-21,80.65,357.52,443.19,0.84,1624.97,26.35,agriculture,0,0
SIKKIM-070,27.536717,88.383294,2026-05-22,72.95,358.9,431.23,0.97,1101.51,16.96,forest,0,0
SIKKIM-071,27.314585,88.586738,2026-05-23,42.35,308.25,479.51,0.893,1315.31,4.35,agriculture,0,0
SIKKIM-072,27.508529,88.780742,2026-05-24,39.88,146.32,245.35,0.582,729.68,16.08,forest,0,0
SIKKIM-073,27.953403,88.408507,2026-05-25,111.97,607.98,690.98,0.98,957.8,3.99,forest,0,1
SIKKIM-074,27.333939,88.223056,2026-05-26,146.61,204.37,250.22,0.741,1191.85,25.83,forest,0,1
SIKKIM-075,27.158303,88.212996,2026-05-27,62.02,137.46,154.09,0.513,2039.64,29.51,grassland,0,0
SIKKIM-076,27.381384,88.671413,2026-05-28,61.02,231.93,541.38,0.98,1143.04,16.46,forest,1,1
SIKKIM-077,27.393594,88.734912,2026-05-29,15.2,132.34,436.26,0.961,1757.3,20.32,forest,0,0
SIKKIM-078,27.761917,88.09475,2026-05-30,12.56,134.1,363.86,0.641,1191.61,12.86,bare_land,0,0
SIKKIM-079,27.657032,88.059903,2026-05-31,170.03,215.88,413.03,0.882,1569.01,22.98,agriculture,0,0
SIKKIM-080,27.883898,88.53499,2026-06-01,44.48,138.16,230.71,0.765,1382.13,13.09,forest,1,0
SIKKIM-081,27.764314,88.131556,2026-06-02,280.0,338.4,540.65,0.98,1869.07,21.84,bare_land,1,1
SIKKIM-082,27.506387,88.742198,2026-06-03,50.5,83.38,141.79,0.474,1193.29,21.52,forest,0,0
SIKKIM-083,27.91402,88.279301,2026-06-04,20.49,84.16,233.43,0.653,695.19,6.07,forest,0,0
SIKKIM-084,27.266973,88.129485,2026-06-05,81.07,198.24,276.04,0.746,786.66,6.36,agriculture,0,0
SIKKIM-085,27.122712,88.828873,2026-06-06,124.31,278.08,480.86,0.83,1194.7,5.0,forest,1,0
SIKKIM-086,27.190048,88.148979,2026-06-07,115.74,133.94,481.55,0.856,850.45,3.29,forest,0,0
SIKKIM-087,27.822359,88.256248,2026-06-08,132.13,228.82,293.93,0.719,1646.9,3.55,grassland,0,0
SIKKIM-088,27.561877,88.138252,2026-06-09,36.03,126.84,222.73,0.535,1226.43,20.65,forest,0,1
SIKKIM-089,27.261272,88.103941,2026-06-10,167.57,280.78,428.22,0.98,2589.81,40.19,grassland,0,1
SIKKIM-090,27.601045,88.019033,2026-06-11,173.58,214.45,243.47,0.599,615.9,21.33,bare_land,0,1
SIKKIM-091,27.252312,88.049856,2026-06-12,178.21,219.74,257.86,0.492,1547.74,4.37,agriculture,0,1
SIKKIM-092,27.79632,88.157177,2026-06-13,89.93,295.33,636.84,0.98,908.58,18.07,grassland,0,1
SIKKIM-093,27.546156,88.048044,2026-06-14,58.68,110.76,282.5,0.465,1213.17,26.08,grassland,1,1
SIKKIM-094,27.481021,88.532029,2026-06-15,54.99,127.87,216.72,0.565,1517.88,13.49,urban,0,0
SIKKIM-095,27.401512,88.612643,2026-06-16,20.39,98.66,235.84,0.598,333.82,8.48,forest,0,0
SIKKIM-096,27.730283,88.354267,2026-06-17,51.33,110.55,210.1,0.539,1563.68,1.45,forest,0,0
SIKKIM-097,27.461813,88.286192,2026-06-18,7.28,140.06,290.42,0.783,2363.4,26.04,agriculture,1,0
SIKKIM-098,27.18765,88.454074,2026-06-19,17.91,143.56,245.8,0.724,1232.35,6.35,agriculture,0,0
SIKKIM-099,27.218006,88.787504,2026-06-20,89.32,177.38,307.45,0.709,1574.71,19.19,forest,0,0
SIKKIM-100,28.061898,88.766018,2026-06-21,63.51,125.33,339.49,0.602,1941.96,8.05,agriculture,0,0
SIKKIM-101,28.008581,88.039128,2026-06-22,86.8,170.12,375.72,0.877,1371.3,20.31,forest,0,1
SIKKIM-102,27.799707,88.163349,2026-06-23,118.39,220.59,550.59,0.98,1171.14,22.57,bare_land,0,1
SIKKIM-103,27.36587,88.21307,2026-06-24,97.45,153.15,332.78,0.787,357.65,1.6,forest,0,0
SIKKIM-104,28.069176,88.224449,2026-06-25,92.15,231.28,374.36,0.904,1757.68,9.97,forest,0,0
SIKKIM-105,27.878751,88.514109,2026-06-26,71.43,250.05,609.71,0.98,1395.68,1.0,forest,0,0
SIKKIM-106,27.81689,88.374636,2026-06-27,43.26,270.2,391.18,0.98,963.91,10.58,forest,0,0
SIKKIM-107,27.549362,88.044329,2026-06-28,28.09,246.66,265.17,0.581,1510.77,12.43,forest,1,1
SIKKIM-108,27.372242,88.336253,2026-06-29,52.32,130.25,361.77,0.867,1169.83,1.95,forest,0,0
SIKKIM-109,27.196391,88.471378,2026-06-30,72.25,177.86,344.04,0.644,1196.36,18.19,forest,0,0
SIKKIM-110,28.002602,88.091505,2026-07-01,78.5,165.4,304.02,0.643,1741.02,15.33,forest,0,0
SIKKIM-111,27.555776,88.750113,2026-07-02,132.31,218.99,454.32,0.98,807.58,2.85,forest,0,0
SIKKIM-112,27.302363,88.046766,2026-07-03,67.9,150.81,253.68,0.619,1952.71,16.19,forest,0,0
SIKKIM-113,27.405957,88.832358,2026-07-04,107.74,205.64,225.2,0.664,779.11,19.8,forest,0,0
SIKKIM-114,27.67922,88.089202,2026-07-05,23.02,219.87,458.07,0.974,1131.9,18.88,forest,0,0
SIKKIM-115,27.276773,88.759217,2026-07-06,90.15,209.63,296.19,0.697,2373.01,22.94,forest,0,0
SIKKIM-116,27.956614,88.812388,2026-07-07,86.04,125.45,192.64,0.655,1991.13,25.88,forest,1,1
SIKKIM-117,27.85852,88.881614,2026-07-08,167.6,341.59,362.32,0.788,1496.85,7.69,forest,1,0
SIKKIM-118,27.819463,88.721823,2026-07-09,63.55,175.75,401.73,0.726,998.55,13.25,grassland,0,1
SIKKIM-119,27.532093,88.70153,2026-07-10,61.68,195.44,207.29,0.505,1195.95,15.75,urban,0,0
SIKKIM-120,27.727309,88.578235,2026-07-11,118.91,236.86,531.66,0.98,1485.17,13.12,bare_land,0,1
SIKKIM-121,27.684098,88.701097,2026-07-12,29.93,151.41,261.54,0.684,1468.01,20.23,agriculture,0,1
SIKKIM-122,27.749847,88.121097,2026-07-13,88.62,213.75,446.44,0.811,1406.38,10.01,agriculture,0,0
SIKKIM-123,27.184444,88.482461,2026-07-14,28.68,50.78,233.91,0.552,1435.2,20.56,forest,0,0
SIKKIM-124,27.515807,88.462801,2026-07-15,213.68,346.36,746.06,0.98,1347.1,20.19,grassland,0,0
SIKKIM-125,27.141614,88.771815,2026-07-16,56.02,113.55,293.52,0.672,757.85,1.0,grassland,0,0
SIKKIM-126,27.593991,88.416519,2026-07-17,27.13,95.95,384.15,0.731,1202.07,24.14,bare_land,1,1
SIKKIM-127,27.429861,88.346581,2026-07-18,52.05,149.42,243.13,0.574,1889.02,1.0,bare_land,0,0
SIKKIM-128,27.244524,88.575607,2026-07-19,88.98,337.58,375.56,0.769,793.2,6.42,forest,0,0
SIKKIM-129,27.203403,88.239817,2026-07-20,105.61,150.64,405.8,0.936,1359.01,24.07,grassland,0,1
SIKKIM-130,27.687645,88.125792,2026-07-21,162.26,257.42,294.37,0.768,1056.52,10.91,grassland,0,0
SIKKIM-131,27.270593,88.43009,2026-07-22,47.54,129.05,353.48,0.782,1503.45,5.3,forest,0,1
SIKKIM-132,28.02512,88.3752,2026-07-23,122.32,294.76,355.76,0.766,1263.46,6.36,bare_land,1,1
SIKKIM-133,27.681061,88.209313,2026-07-24,17.92,97.87,266.15,0.671,2159.15,30.49,forest,0,0
SIKKIM-134,27.44687,88.330761,2026-07-25,34.05,147.09,551.27,0.98,1693.16,3.17,urban,0,1
SIKKIM-135,27.690915,88.329753,2026-07-26,23.59,68.73,282.35,0.593,820.33,20.59,grassland,0,0
SIKKIM-136,27.122804,88.294746,2026-07-27,41.41,231.91,353.26,0.718,1772.19,18.74,forest,0,0
SIKKIM-137,28.058559,88.341518,2026-07-28,118.87,149.42,335.27,0.715,1078.17,4.09,agriculture,0,0
SIKKIM-138,27.582303,88.617169,2026-07-29,48.4,179.92,276.13,0.582,1173.04,9.72,forest,0,0
SIKKIM-139,27.882735,88.267189,2026-07-30,55.32,168.83,666.41,0.98,1600.63,9.67,grassland,1,1
SIKKIM-140,27.18273,88.853972,2026-07-31,90.55,215.01,296.76,0.765,1213.96,21.64,grassland,0,1
SIKKIM-141,27.586658,88.824713,2026-08-01,102.79,133.72,264.36,0.53,1878.57,25.89,agriculture,0,0
SIKKIM-142,27.590707,88.432819,2026-08-02,56.54,135.34,337.11,0.771,1078.24,1.0,bare_land,0,0
SIKKIM-143,28.037826,88.295525,2026-08-03,33.86,201.14,378.48,0.815,1152.91,10.99,forest,1,0
SIKKIM-144,27.671728,88.481891,2026-08-04,192.78,463.98,654.29,0.98,1134.94,7.17,forest,0,0
SIKKIM-145,27.573489,88.763704,2026-08-05,56.81,147.22,244.9,0.626,1178.49,24.78,forest,0,1
SIKKIM-146,27.366976,88.587329,2026-08-06,60.94,218.56,336.47,0.651,1977.61,10.02,forest,0,0
SIKKIM-147,27.431569,88.723953,2026-08-07,66.46,172.88,420.84,0.796,1751.82,31.85,forest,0,0
SIKKIM-148,27.620672,88.47945,2026-08-08,109.78,203.41,443.86,0.935,2270.77,22.9,forest,0,1
SIKKIM-149,27.538911,88.569626,2026-08-09,21.96,94.5,274.57,0.755,2538.47,16.01,forest,0,0
SIKKIM-150,27.121612,88.25934,2026-08-10,238.36,336.06,646.09,0.98,955.26,7.22,forest,0,1
SIKKIM-151,27.926292,88.661404,2026-08-11,59.75,208.71,462.75,0.98,1483.8,10.46,bare_land,0,1
SIKKIM-152,27.996161,88.182164,2026-08-12,112.15,268.81,504.8,0.98,885.42,1.89,forest,0,0
SIKKIM-153,27.240249,88.625318,2026-08-13,27.4,63.85,100.16,0.392,1076.75,14.37,bare_land,1,0
SIKKIM-154,27.654036,88.774647,2026-08-14,84.62,152.57,331.24,0.804,1147.56,4.36,forest,1,0
SIKKIM-155,27.208576,88.118893,2026-08-15,216.42,259.79,418.27,0.837,942.57,1.0,forest,0,1
SIKKIM-156,27.77224,88.552942,2026-08-16,198.3,299.3,633.41,0.98,945.09,9.52,agriculture,0,0
SIKKIM-157,27.381234,88.085586,2026-08-17,110.29,187.14,193.21,0.418,1380.74,1.62,forest,0,0
SIKKIM-158,27.759423,88.653144,2026-08-18,39.29,161.08,286.74,0.504,865.98,5.91,forest,1,1
SIKKIM-159,27.826995,88.076044,2026-08-19,157.02,284.27,434.3,0.98,1854.22,12.56,agriculture,0,0
SIKKIM-160,27.868647,88.842346,2026-08-20,17.8,30.45,90.81,0.311,1009.48,6.11,forest,0,0
SIKKIM-161,27.207741,88.123667,2026-08-21,38.2,135.39,205.51,0.53,2798.59,43.4,forest,0,1
SIKKIM-162,28.016012,88.862992,2026-08-22,71.71,270.93,605.68,0.98,1233.34,15.32,agriculture,0,1
SIKKIM-163,27.330214,88.720796,2026-08-23,19.34,87.31,277.15,0.564,1484.57,18.84,forest,0,0
SIKKIM-164,27.137413,88.534314,2026-08-24,51.97,118.51,523.23,0.98,828.24,1.0,grassland,0,0
SIKKIM-165,27.654852,88.704362,2026-08-25,123.88,302.37,426.46,0.848,2268.92,17.92,forest,1,1
SIKKIM-166,27.470922,88.715603,2026-08-26,44.68,205.88,250.3,0.665,1987.36,22.62,urban,0,1
SIKKIM-167,27.92979,88.851424,2026-08-27,127.56,174.5,286.56,0.727,1592.52,9.54,grassland,1,1
SIKKIM-168,27.908251,88.228045,2026-08-28,276.72,428.2,527.04,0.98,803.53,18.69,urban,0,1
SIKKIM-169,27.417139,88.531068,2026-08-29,97.61,152.83,371.13,0.84,1551.12,7.79,grassland,0,0
SIKKIM-170,28.052899,88.085544,2026-08-30,126.18,192.22,405.07,0.98,911.71,10.0,forest,1,1
SIKKIM-171,27.390918,88.554549,2026-08-31,160.33,207.24,403.1,0.785,2151.93,17.53,agriculture,0,1
SIKKIM-172,27.615057,88.154162,2026-09-01,55.54,91.75,571.77,0.98,1838.41,21.02,forest,0,1
SIKKIM-173,27.355965,88.508456,2026-09-02,124.31,229.25,528.46,0.98,1495.81,11.84,grassland,0,0
SIKKIM-174,28.036044,88.515187,2026-09-03,54.57,86.33,160.35,0.598,280.54,5.08,agriculture,0,0
SIKKIM-175,27.264608,88.419387,2026-09-04,93.19,200.96,460.12,0.844,977.96,10.93,forest,0,0
SIKKIM-176,27.144911,88.470369,2026-09-05,136.22,241.77,385.3,0.818,1780.13,13.37,bare_land,0,1
SIKKIM-177,27.535097,88.687531,2026-09-06,40.72,128.39,250.12,0.743,2032.18,25.14,forest,0,0
SIKKIM-178,28.092376,88.71932,2026-09-07,8.1,78.39,400.32,0.907,1982.4,22.77,agriculture,0,1
SIKKIM-179,27.991677,88.442938,2026-09-08,37.78,98.53,168.91,0.525,685.83,9.78,grassland,0,0
SIKKIM-180,27.848608,88.539634,2026-09-09,148.84,191.17,439.8,0.909,1594.75,14.31,forest,0,1
